Alcatel One Touch C651;.*Alcatel\-CTH3.*
Motorola V500;.*MOT\-V500.*
Motorola V545;.*MOT\-V545.*
Motorola V550;.*MOT\-V550.*
LG KE970;.*LG\-KE970.*
Motorola V600R;.*MOT\-V620.*
Motorola V80;.*MOT\-V80.*
Motorola V980;.*MOT\-V980.*
HTC Corporation Diamond;.*HTC_P3700.*
Samsung Z100;.*Mozilla\/SMB3\(Z100\)\/Samsung.*
Nokia 3110c;.*Nokia3110.*
Nokia 7360;.*Nokia7360.*
Samsung B2100;.*SAMSUNG\-B2100.*
Nokia 6030;.*Nokia6030.*
Nokia 3100b;.*Nokia3100.*
Samsung S8003;.*SAMSUNG\-GT\-S8003.*
Nokia 3205;.*Nokia3205.*
Samsung S8000;.*SAMSUNG\-S8000.*
Samsung SGH-G800;.*SAMSUNG\-SGH\-G800.*
Samsung SGH-I321N;.*SEC\-SGHI321.*
Nokia 3600;.*Nokia3600.*
Nokia 3650;.*Nokia3650.*
Nokia 5100;.*Nokia5100.*
Samsung SGH-T429;.*SAMSUNG\-SGH\-T429.*
Sony Ericsson K700c;.*LENOVO\-i966.*
Nokia 6061;.*Nokia6061.*
SonyEricsson R306;.*SonyEricssonR306.*
Sony Ericsson V630i;.*SonyEricssonV630.*
Samsung SGH-F490;.*SAMSUNG\-SGH\-F490.*
Nokia N2690;.*Nokia2690.*
Samsung SGH-C408;.*SAMSUNG\-SGH\-C408.*
Samsung SGH-D407;.*SAMSUNG\-SGH\-D407.*
Samsung SGH-F258;.*SAMSUNG\-SGH\-F258.*
Samsung SGH-D508;.*SAMSUNG\-SGH\-D508.*
Samsung SGH-D600;.*SAMSUNG\-SGH\-D600.*
Samsung GT-B5310L;.*SAMSUNG\-GT\-B5310.*
Samsung SGH-D728;.*SAMSUNG\-SGH\-D728.*
Samsung SGH-D828;.*SAMSUNG\-SGH\-D828\/1\.0.*
Samsung SGH-D900;.*SAMSUNG\-SGH\-D900.*
Samsung SGH-E100;.*SAMSUNG\-SGH\-E100.*
Samsung SGH-E230;.*SAMSUNG\-SGH\-E230\/1\.0.*
Samsung SGH-E330;.*SAMSUNG\-SGH\-E330.*
Samsung -SGH-X486-2;SAMSUNG-SGH-X486/1\.0
Pantech S100;.*S100\/R01.*
SonyEricsson W100a;.*SonyEricssonW100.*
LG ME770;.*LG\-ME770.*
Nokia 6682;.*Nokia6682.*
Nokia 6810;.*Nokia6810.*
Nokia 6822;.*Nokia6822.*
Nokia 7210;.*Nokia7210.*
RIM BlackBerry 9105;.*BlackBerry9105.*
Nokia 7270;.*Nokia7270.*
Nokia 7370;.*Nokia7370.*
Nokia 7600;.*Nokia7600.*
Sony Ericsson J105i;.*SonyEricssonJ105.*
RIM BlackBerry 9650;.*BlackBerry9650.*
MOTOROLA MOT-EX112;.*MOT\-EX112.*
Sony Ericsson G705;.*SonyEricssonG705.*
Sony Ericsson F100i;.*SonyEricssonF100.*
LG LG-T310;.*LG\-T310.*
Nokia 9300;.*Nokia9300.*
Nokia 9500;.*Nokia9500.*
Nokia E60;.*NokiaE70.*
Nokia N70;.*NokiaN70.*
Nokia N90;.*NokiaN90.*
Panasonic G50;.*Panasonic\-G50.*
Panasonic G60;.*Panasonic\-G60.*
Panasonic GD67;.*Panasonic\-GAD67.*
Panasonic GD87;.*Panasonic\-GAD87.*
Panasonic GD88;.*Panasonic\-GD88.*
Panasonic X200;.*Panasonic\-X200.*
Panasonic X500;.*Panasonic\-X500.*
Panasonic X70;.*Panasonic\-X70.*
Panasonic X800;.*Panasonic\-X800.*
Pantech PG-3210;.*PG\-3210.*
Sagem myV-65;.*SAGEM\-myV\-65.*
Sagem myX-2/1.0;.*SAGEM\-myX\-2.*
Sagem myX-5/2.0;.*SAGEM\-myX\-5.*
Sagem myX-6/1.0;.*SAGEM\-myX\-6.*
Sagem myX-7/1.0;.*SAGEM\-myX\-7.*
Sagem myX2-2m/1.0;.*SAGEM\-myX2.*
BlackBerry 8300;.*BlackBerry8300.*
Samsung SGH-C268;.*SAMSUNG\-SGH\-C268.*
Samsung SGH-C406;.*SAMSUNG\-SGH\-C406\/1\.0.*
